len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
40,5360,0,38,6,48257,4000,46739,0
40,38742,0,38,6,14875,617,46739,0
40,3427,0,38,6,50190,6389,46739,0
40,8787,0,38,6,44830,4005,46739,0
40,43257,0,38,6,10360,54328,46739,0
40,56460,0,38,6,62692,1247,46739,0
40,15499,0,38,6,38118,6346,46739,0
40,56308,0,38,6,62844,2006,46739,0
40,41705,0,38,6,11912,2967,46739,0
40,46548,0,38,6,7069,5862,46739,0
40,30027,0,38,6,23590,7200,46739,0
44,58710,0,47,6,58134,46739,4567,0
44,7596,0,51,6,42689,46739,8402,0
44,32247,0,56,6,16758,46739,3268,0
44,37029,0,42,6,15560,46739,9877,0
44,46682,0,54,6,2835,46739,1259,0
40,28564,0,38,6,25053,8383,46739,0
44,60376,0,43,6,57492,46739,6543,0
44,22913,0,52,6,27116,46739,1864,0
44,45363,0,38,6,8250,46739,10012,0
44,16383,0,51,6,33902,46739,1687,0
44,52995,0,41,6,65385,46739,33899,0
40,1027,0,38,6,52590,9200,46739,0
40,63203,0,38,6,55949,7778,46739,0
40,22929,0,38,6,30688,1108,46739,0
40,24807,0,38,6,28810,1287,46739,0
40,23828,0,38,6,29789,1687,46739,0
44,49053,0,58,6,64975,46739,1056,0
44,24222,0,47,6,27087,46739,99,0
44,45134,0,42,6,7455,46739,89,0
44,9686,0,58,6,38807,46739,1149,0
44,17169,0,52,6,32860,46739,49175,0
44,33550,0,57,6,15199,46739,1130,0
44,1288,0,38,6,52325,46739,3995,0
44,41049,0,54,6,8468,46739,1152,0
44,47686,0,58,6,807,46739,8082,0
44,57491,0,56,6,57049,46739,22939,0
44,50988,0,41,6,1857,46739,3077,0
44,25801,0,43,6,26532,46739,987,0
44,41061,0,42,6,11528,46739,1875,0
44,60045,0,58,6,53983,46739,4443,0
44,60391,0,49,6,55941,46739,31337,0
44,9767,0,43,6,42566,46739,1533,0
44,11133,0,52,6,38896,46739,6792,0
44,60720,0,55,6,54076,46739,1717,0
44,36238,0,45,6,15583,46739,1084,0
44,11422,0,52,6,38607,46739,13456,0
44,42789,0,55,6,6472,46739,1154,0
44,42872,0,39,6,10485,46739,3920,0
44,20388,0,55,6,28873,46739,2046,0
44,2529,0,44,6,49548,46739,65000,0
44,62211,0,46,6,54889,46739,4343,0
44,24711,0,51,6,25574,46739,8000,0
44,60155,0,59,6,53617,46739,902,0
44,29812,0,55,6,19449,46739,1434,0
44,48804,0,41,6,4041,46739,2035,0
44,9483,0,59,6,38754,46739,9415,0
44,62020,0,38,6,57128,46739,2020,0
44,7631,0,55,6,41630,46739,1524,0
44,40261,0,51,6,10024,46739,1175,0
44,6620,0,43,6,45713,46739,1076,0
44,57497,0,50,6,58579,46740,3300,0
44,55064,0,37,6,64340,46740,5440,0
44,150,0,53,6,49623,46740,2160,0
44,8127,0,44,6,43950,46740,5550,0
44,4940,0,58,6,43553,46740,2910,0
44,41516,0,56,6,7489,46740,3826,0
44,44554,0,52,6,5475,46740,1049,0
